NTA code,Towers
BK09,117
BK17,22
BK19,10
BK21,13
BK23,10
BK25,8
BK26,11
BK27,2
BK28,4
BK29,1
BK30,2
BK31,22
BK32,57
BK33,43
BK35,2
BK37,25
BK38,268
BK40,4
BK41,3
BK42,19
BK43,10
BK44,6
BK45,16
BK46,1
BK50,3
BK58,1
BK60,20
BK61,18
BK63,2
BK64,22
BK68,55
BK69,14
BK72,3
BK73,75
BK75,7
BK76,18
BK77,6
BK78,14
BK79,1
BK81,6
BK82,20
BK83,23
BK85,5
BK88,14
BK90,19
BK91,20
BK93,4
BK95,4
BK96,10
BK99,35
BX30,3
MN01,27
MN03,54
MN04,12
MN06,153
MN09,192
MN11,69
MN12,162
MN13,1359
MN14,396
MN15,447
MN17,3528
MN19,1446
MN20,855
MN21,321
MN22,81
MN23,504
MN24,1023
MN25,1719
MN27,270
MN28,174
MN31,666
MN32,192
MN33,96
MN34,93
MN35,18
MN36,141
MN40,423
MN50,15
MN99,82
QN20,1
QN31,29
QN68,24
QN71,6
QN99,1
